macd_fast,macd_slow,rsi_lower,rsi_upper,final_pnl,sharpe
8,30,20,80,1.1529151129932624,2.3363174624570724
8,26,20,80,1.124183156543273,2.318997172185648
8,34,20,80,1.055152359807606,2.125452445278019
12,26,20,80,0.9400414821339206,2.043379002232092
12,30,20,80,0.7613515788604807,1.6689481095003238
8,30,20,70,0.7817475221380463,1.643135993218151
8,26,20,70,0.7530151811996477,1.613695286504558
16,26,20,80,0.7308038322160074,1.6051882781805615
16,30,20,80,0.709640153405001,1.550840792342759
12,34,20,80,0.7073672971189773,1.544530755519199
16,34,20,80,0.6757817787739421,1.4795517758949166
8,34,20,70,0.6786636503406357,1.4185768176615505
8,30,30,80,0.715187730483736,1.3380588922934253
12,26,20,70,0.5840554574828992,1.3253536826939019
8,26,30,80,0.6836803285544972,1.2989840208461632
8,34,30,80,0.6174249984850905,1.1499510680060592
12,26,30,80,0.5023140355973084,0.998525261594729
12,30,20,70,0.39352148188467606,0.9052371354547659
16,26,20,70,0.3652560706247614,0.842520696444295
8,26,40,80,0.43424725815874005,0.8235263824529341
16,30,20,70,0.35077915013095884,0.8045277053963232
12,34,20,70,0.341819776233067,0.7834686637053944
8,30,40,80,0.4117860786198863,0.7653224563540256
12,30,30,80,0.3730305846539951,0.7515829821471122
16,26,30,80,0.3645758872557989,0.7368745190368932
16,34,20,70,0.3169208371542668,0.728525047934789
16,30,30,80,0.34341219479317187,0.691217325283662
12,34,30,80,0.341139430549156,0.6861458046980505
8,30,20,60,0.25364077957102205,0.6708833692095989
8,30,30,70,0.3440198607713678,0.66549306270701
16,34,30,80,0.30955390512053294,0.6241605138185182
8,26,30,70,0.31251266255145543,0.6147120077161635
8,34,40,80,0.31402339105521193,0.5812678298827507
8,26,20,60,0.1857106280471225,0.501713972451042
8,34,30,70,0.24093614637946187,0.46420476960505613
8,34,20,60,0.15543637228112897,0.41155899068084684
12,26,30,70,0.14632779050979186,0.30224868729095933
12,26,40,80,0.1485698729560816,0.2853851210095576
12,26,20,60,0.10462283800557497,0.28039922890756347
12,34,40,80,0.06257660111483082,0.1250726960969182
8,26,40,70,0.06307932042460923,0.12400550429007283
16,30,40,80,0.04224584238477125,0.08443475773304528
8,30,40,70,0.04061830339039044,0.07814870994820945
12,30,40,80,0.017238867861036455,0.03354587880754738
16,26,40,80,0.009314510045444424,0.018179678077857385
12,30,30,70,0.005200495020194859,0.010937529313638407
16,26,30,70,-0.0009716914380120539,-0.0020512858215687617
16,34,40,80,-0.012387569805600351,-0.024606510417575885
16,30,30,70,-0.015448643261451081,-0.03246033087272002
12,34,30,70,-0.024407954509266874,-0.05126036204341916
16,34,30,70,-0.049306930054421036,-0.10382293764793975
8,34,40,70,-0.06246543239647169,-0.1197581525697667
12,30,20,60,-0.0673962158186528,-0.17071155571792854
16,26,20,60,-0.08102224276862437,-0.20543412352564933
16,30,20,60,-0.09580131316082581,-0.2409650822184633
12,34,20,60,-0.11774233316921216,-0.2978729329724224
16,34,20,60,-0.12965962469034534,-0.3271454237295438
8,30,30,60,-0.17022552664295845,-0.4001106122151247
12,26,40,70,-0.20741623806651896,-0.4137317444670609
8,26,30,60,-0.24093111094609093,-0.5763126041715599
8,34,30,60,-0.2684299691344951,-0.632035981420467
12,34,40,70,-0.3029709767405776,-0.6330531470980533
16,30,40,70,-0.3166150391258425,-0.6614155828199052
12,30,40,70,-0.35059120410353684,-0.7115417736905002
16,26,40,70,-0.356232877267022,-0.7255274982455543
12,26,30,60,-0.31924338436398425,-0.7592782248344287
16,34,40,70,-0.37124869683423717,-0.7706106204945853
16,26,30,60,-0.4333889766000237,-0.9949060507028067
12,30,30,60,-0.4418559984107262,-1.0120928115438108
16,30,30,60,-0.4481680194571052,-1.0221873713408014
8,30,40,60,-0.447992890792687,-1.0489005965454528
12,34,30,60,-0.4701090396387254,-1.0775191831186108
16,34,30,60,-0.48202644931954713,-1.1025054925845585
8,26,40,60,-0.4647298614637251,-1.1150291997821762
8,34,40,60,-0.546197152839488,-1.2818050238743761
12,26,40,60,-0.6473531283773069,-1.4766022745908156
16,30,40,60,-0.7237001779368569,-1.644643779116581
12,34,40,60,-0.7230376933170329,-1.652365273103523
16,26,40,60,-0.7630158523463322,-1.6851266400135627
12,30,40,60,-0.7720135176170119,-1.7016251082509108
16,34,40,60,-0.778333462404945,-1.7562935119896843
